concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_anthropic_hh_balanced,auroc_mt_balanced,auroc_mts_balanced,auroc_toolace_balanced,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
highstakes,mixed,1,1113,2005,477,0.9764424598291199,3,67.0,0.9685874947687543,0.9216250314177317,0.4970324071343851,0.9827639726440931,0.9910968817157142,0.994862087614927,0.9056270371002828,,,,
highstakes,finetune,1,1113,2005,477,0.9804947083435887,2,50.7,0.9727869680817323,0.9213584608570731,0.5037557616416523,0.9846740704669767,0.9913984035787905,0.9962141698215252,0.9188612284596367,finetuned,0.892127562322,0.9804947083435887,2.0
highstakes,dev_only,1,1113,1113,477,0.9765831018599909,4,52.0,0.9700493166808645,0.9255482037115774,0.48746885422592473,0.9862966653249863,0.987385421692031,0.997836668469443,0.9086785112369978,,,,
highstakes,mixed,1,1272,2164,477,0.9758798917056363,3,70.7,0.9673722018132973,0.9200945879837645,0.5042055986826857,0.9823527086373078,0.991316170343406,0.9962141698215252,0.89960575845095,,,,
highstakes,finetune,1,1272,2164,477,0.9793871523504799,2,54.6,0.9699024794348226,0.9193517599318288,0.5100331644682159,0.9829434373854481,0.989117801850796,0.9954029204975664,0.9121457580054793,finetuned,0.892127562322,0.9793871523504799,2.0
highstakes,dev_only,1,1272,1272,477,0.9795541647621392,3,54.2,0.9679531296736924,0.9264848900434322,0.3815237558368695,0.9846498124043155,0.9869303977895706,0.9986479177934019,0.9015843907074816,,,,
highstakes,mixed,1,1431,2323,477,0.9778312998839704,7,77.4,0.9734275974239552,0.9281431814155114,0.5240850674880739,0.9832913608952842,0.992193324854173,0.9951325040562466,0.9230931998901173,,,,
highstakes,finetune,1,1431,2323,477,0.9817253261137091,8,59.2,0.9733447510088585,0.9251373184362364,0.5369411594016819,0.9858703523348834,0.9898140432437174,0.9935100054083288,0.9241846030485044,finetuned,0.892127562322,0.9817253261137091,8.0
highstakes,dev_only,1,1431,1431,477,0.977602756583805,5,59.3,0.9713707348142622,0.9270357872368464,0.5043232207855615,0.98557611101927,0.9910146484803298,0.9972958355868037,0.911596344170645,,,,
highstakes,mixed,2,159,1051,477,0.9626683309306987,4,46.4,0.9603601363004874,0.882132346605541,0.3349370941718458,0.9770990411776123,0.9690419279856147,0.9878312601406166,0.907468315898106,,,,
highstakes,finetune,2,159,1051,477,0.9616838367146021,24,32.7,0.9561958759438984,0.8742126819529817,0.3878946098943419,0.9766880017825184,0.9703576597517652,0.973499188750676,0.9042386534906341,finetuned,0.892127562322,0.9616838367146021,24.0
highstakes,dev_only,2,159,159,477,0.9566646742378959,9,31.0,0.9470303411943072,0.8700604760529759,0.43331939763937477,0.9768427592378296,0.9716404982237622,0.9843158464034614,0.8553222609121754,,,,
highstakes,mixed,2,318,1210,477,0.9667996905875321,6,50.8,0.9639861928382875,0.9191889573570673,0.40113840029634446,0.9801699322211761,0.9866288759264944,0.9924283396430503,0.8967176235624289,,,,
highstakes,finetune,2,318,1210,477,0.9710189515136598,90,46.7,0.9599693867740098,0.8975493385084982,0.4182791950147797,0.9798851245965974,0.9848581202578834,0.9775554353704705,0.8975788668710882,finetuned,0.892127562322,0.9710189515136598,90.0
highstakes,dev_only,2,318,318,477,0.9635385534967125,8,34.6,0.9528572043453909,0.8804215710857684,0.4427101533046474,0.9815777983022951,0.9764319547388272,0.9872904272579773,0.866128637082464,,,,
highstakes,mixed,2,477,1369,477,0.9717133715410851,3,54.8,0.9636058116463847,0.9215357724452646,0.4434548574466435,0.982669186510361,0.9868426823384939,0.9832341806381828,0.901677197098501,,,,
highstakes,finetune,2,477,1369,477,0.9776467072184521,13,39.7,0.9652535607489963,0.9159740045079748,0.4632975770929266,0.9831884887406652,0.9856640059646505,0.9813412655489454,0.9108204827417237,finetuned,0.892127562322,0.9776467072184521,13.0
highstakes,dev_only,2,477,477,477,0.9777346084877465,8,38.0,0.9673310611380905,0.9135353922181578,0.49144035465738417,0.9838733297874636,0.9819909214508136,0.997836668469443,0.9056233248446421,,,,
highstakes,mixed,2,636,1528,477,0.9783587074997364,3,56.4,0.9689633123576555,0.9194406576160618,0.46258156716846455,0.983474868647083,0.9869468444366475,0.9959437533802056,0.9094877829666861,,,,
highstakes,finetune,2,636,1528,477,0.9818220175099328,5,41.5,0.9653727761805087,0.9164379725036236,0.5081052547197482,0.9836630932443993,0.9863547651418797,0.9821525148729043,0.9093207314628515,finetuned,0.892127562322,0.9818220175099328,5.0
highstakes,dev_only,2,636,636,477,0.9778928307724764,5,42.0,0.9698122040889993,0.9142856280149136,0.4961719918215977,0.9871984812655881,0.9847978158852682,0.9967550027041644,0.9104975165009764,,,,
highstakes,mixed,2,795,1687,477,0.9791410287964558,5,61.2,0.97036120001427,0.920925063274494,0.4736502542434666,0.9830162115734318,0.9877856234375686,0.9962141698215251,0.9144287952245543,,,,
highstakes,finetune,2,795,1687,477,0.9831493266762772,10,46.8,0.9703133203844398,0.9255618220559889,0.5024500931059328,0.9831839965068391,0.98934257269418,0.9913466738777718,0.9173800384589683,finetuned,0.892127562322,0.9831493266762772,10.0
highstakes,dev_only,2,795,795,477,0.9807759924053303,2,44.5,0.9703719846581669,0.9225848408645796,0.5118005952287364,0.9864817453586241,0.9896112012631024,0.9956733369388858,0.9097216550720548,,,,
highstakes,mixed,2,954,1846,477,0.979448683238986,7,66.9,0.971822337011362,0.9193007286367724,0.49454604864962165,0.9836080633800286,0.9890629796938731,0.9929691725256895,0.9216491324458568,,,,
highstakes,finetune,2,954,1846,477,0.9840810801307971,5,48.9,0.9767163087327604,0.9357078600916402,0.5273653970885426,0.9855949784013397,0.994018902679707,0.9945916711736074,0.9326596826763878,finetuned,0.892127562322,0.9840810801307971,5.0
highstakes,dev_only,2,954,954,477,0.9801079427586934,4,48.1,0.9728849224427933,0.9227569094137288,0.5046196480779095,0.9857344622616422,0.9923084513837112,0.9983775013520821,0.915119274773738,,,,
highstakes,mixed,2,1113,2005,477,0.9782620161035126,2,67.0,0.9692897093915533,0.924188466612607,0.5130850439521636,0.9842906583099139,0.993552914345862,0.9813412655489454,0.9179739993614919,,,,
highstakes,finetune,2,1113,2005,477,0.9806089799936711,5,52.6,0.9729292409780439,0.9272984451190593,0.5394387567069483,0.986863136010465,0.9924400245603263,0.9926987560843699,0.9197150472570143,finetuned,0.892127562322,0.9806089799936711,5.0
highstakes,dev_only,2,1113,1113,477,0.9779895221687,3,52.1,0.9730095979170137,0.9222896698891319,0.5082370364665347,0.9870046413759892,0.9919850006578659,0.9978366684694429,0.9152120811647573,,,,
highstakes,mixed,2,1272,2164,477,0.97473717520481,2,69.9,0.9709062529318131,0.9241447616354003,0.49301706109191823,0.9826876046690481,0.9929717994824787,0.994862087614927,0.9131035199607985,,,,
highstakes,finetune,2,1272,2164,477,0.9790619176540909,2,55.0,0.9727402414422006,0.9330258018679708,0.5355268852179534,0.9846832795463204,0.9927250997763256,0.9826933477555434,0.9308592386906132,finetuned,0.892127562322,0.9790619176540909,2.0
highstakes,dev_only,2,1272,1272,477,0.9767940649062972,3,57.2,0.9720889931295049,0.9242230629846488,0.5277594693820544,0.9868584191649477,0.991299723696329,0.9943212547322877,0.9158765749244556,,,,
highstakes,mixed,2,1431,2323,477,0.9778312998839704,7,77.5,0.9734275974239552,0.9281431814155114,0.5240850674880739,0.9832913608952842,0.992193324854173,0.9951325040562466,0.9230931998901173,,,,
highstakes,finetune,2,1431,2323,477,0.9817253261137091,8,59.5,0.9733447510088585,0.9251373184362364,0.5369411594016819,0.9858703523348834,0.9898140432437174,0.9935100054083288,0.9241846030485044,finetuned,0.892127562322,0.9817253261137091,8.0
highstakes,dev_only,2,1431,1431,477,0.977602756583805,5,60.4,0.9713707348142622,0.9270357872368464,0.5043232207855615,0.98557611101927,0.9910146484803298,0.9972958355868037,0.911596344170645,,,,
