concept,arm,dev_seed,n_dev,n_train,n_val,val_auroc,best_epoch,seconds,mean_auroc,mean_accuracy,mean_tpr_at_fpr,auroc_eval_ai_dilemmas,auroc_eval_ant_hh,auroc_eval_balanced_refusal,auroc_eval_daily_dilemmas,checkpoint_kept,val_auroc_stage1,val_auroc_finetuned,finetune_best_epoch
hu_ha,mixed,2,24,1002,72,0.8977623456790124,34,30.6,0.9266154293163893,0.8390987999677483,0.5154666866746698,0.9803200692041523,0.7863666740922255,0.9647125,0.9750624739691796,,,,
hu_ha,finetune,2,24,1002,72,0.8912037037037037,1,4.0,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,finetuned,0.8912037037037037,0.8912037037037037,1.0
hu_ha,dev_only,2,24,24,72,0.5246913580246914,1,4.2,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha,mixed,2,48,1026,72,0.8572530864197531,11,23.7,0.9186235114177643,0.8498894931106771,0.5152130852340937,0.9610726643598617,0.7816885720650478,0.950475,0.9812578092461475,,,,
hu_ha,finetune,2,48,1026,72,0.8912037037037037,1,5.0,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,finetuned,0.8912037037037037,0.8912037037037037,1.0
hu_ha,dev_only,2,48,48,72,0.5246913580246914,1,5.3,0.5299186950369216,0.5,0.010051020408163264,0.49199826989619383,0.48373802628647805,0.6013,0.5426384839650146,,,,
hu_ha,mixed,2,73,1051,72,0.9309413580246914,58,37.1,0.9360768113264719,0.8745860471054093,0.39102941176470585,0.9776167820069204,0.8027400311873468,0.9749875,0.9889629321116202,,,,
hu_ha,finetune,2,73,1051,72,0.8912037037037037,4,4.9,0.8981962577574314,0.8110006875884682,0.347734093637455,0.8944636678200693,0.7762307863666741,0.949475,0.9726155768429822,stage1,0.8912037037037037,0.8838734567901234,4.0
hu_ha,dev_only,2,73,73,72,0.908179012345679,20,5.2,0.9254046749030309,0.8498025254878071,0.4391176470588235,0.9898356401384083,0.7433726887948318,0.9833000000000001,0.9851103706788837,,,,
hu_ha,mixed,2,97,1075,72,0.9220679012345678,125,51.8,0.9335997563626184,0.8676874630449194,0.6561074429771909,0.98810553633218,0.8038538650033416,0.9575375,0.984902124114952,,,,
