samples,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_nemotron_600.jsonl,200,2,100,100,250,0.6843,0.74269,0.76557,0.44118,0.74105,0.81834,0.74611,0.70753,0.57031,0.7554,0.81245,0.73855,0.8058,0.8513,0.62594,0.60942,24.7
instructions_nemotron_600.jsonl,200,3,100,100,250,0.64536,0.70232,0.63884,0.45891,0.69513,0.69896,0.72405,0.72544,0.57617,0.7066,0.78955,0.70332,0.6672,0.79585,0.65336,0.60034,21.1
instructions_nemotron_600.jsonl,200,4,100,100,250,0.71295,0.78238,0.81531,0.375,0.85996,0.71583,0.82266,0.73783,0.66406,0.7777,0.77,0.93198,0.71505,0.91845,0.70124,0.6622,21.2
instructions_nemotron_600.jsonl,200,5,100,100,250,0.6304,0.70599,0.81704,0.37889,0.63499,0.61765,0.70761,0.70386,0.55273,0.8383,0.7261,0.71198,0.59415,0.85535,0.60527,0.6108,20.7
instructions_nemotron_600.jsonl,200,6,100,100,250,0.63639,0.70744,0.766,0.42474,0.7011,0.60078,0.72318,0.68228,0.55664,0.78585,0.75755,0.77739,0.6011,0.8242,0.61181,0.59418,20.9
instructions_nemotron_600.jsonl,200,7,100,100,250,0.69499,0.76639,0.79844,0.39879,0.81313,0.66955,0.84386,0.70248,0.63867,0.7946,0.8309,0.85737,0.672,0.9273,0.64869,0.63389,23.3
instructions_nemotron_600.jsonl,300,0,150,150,350,0.71716,0.79375,0.86073,0.41955,0.83655,0.75519,0.73962,0.80303,0.60547,0.8506,0.8532,0.89202,0.7147,0.85405,0.69699,0.69468,25.4
instructions_nemotron_600.jsonl,300,1,150,150,350,0.68082,0.755,0.77682,0.32699,0.86134,0.73183,0.80147,0.68916,0.57812,0.7843,0.67805,0.92024,0.7731,0.92935,0.57886,0.62111,27.4
instructions_nemotron_600.jsonl,300,2,150,150,350,0.66089,0.72842,0.61851,0.46367,0.83196,0.6769,0.72967,0.68641,0.61914,0.6862,0.81665,0.90004,0.66455,0.8093,0.63126,0.59095,22.7
instructions_nemotron_600.jsonl,300,3,150,150,350,0.66816,0.75569,0.78893,0.36332,0.78604,0.75779,0.76946,0.65106,0.56055,0.82295,0.77385,0.86322,0.71455,0.8404,0.61388,0.66097,25.1
