samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_anthropic_harmless_refusal,dev_bbq_substitution,dev_hc_context_drift,dev_hc_contradiction,dev_mm_substitution,dev_oig_context_drift,dev_oig_omission,eval_anthropic_harmless_refusal,eval_bbq_substitution,eval_hc_context_drift,eval_hc_contradiction,eval_mm_substitution,eval_oig_context_drift,eval_oig_omission,seconds
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,4,50,50,150,0.63358,0.68987,0.49654,0.58045,0.74334,0.64749,0.66782,0.63728,0.66211,0.58395,0.889,0.76735,0.603,0.76925,0.60373,0.6128,23.4
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,5,50,50,150,0.68836,0.72009,0.78936,0.55926,0.74839,0.7673,0.64836,0.71993,0.58594,0.7721,0.7556,0.80168,0.71705,0.739,0.61271,0.64251,21.6
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,6,50,50,150,0.60872,0.63408,0.6942,0.58521,0.58586,0.61938,0.6436,0.63866,0.49414,0.702,0.61975,0.64571,0.60565,0.72105,0.5965,0.54786,20.1
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,100,7,50,50,150,0.63642,0.71212,0.52379,0.4282,0.74013,0.74913,0.75,0.70707,0.55664,0.52975,0.83015,0.80088,0.7239,0.8378,0.6405,0.62188,19.7
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,0,100,100,250,0.66441,0.74961,0.6795,0.43339,0.72911,0.75865,0.76427,0.65702,0.62891,0.782,0.8339,0.8028,0.7728,0.83465,0.59215,0.62896,24.0
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,1,100,100,250,0.53715,0.55485,0.72621,0.47318,0.49403,0.50519,0.54412,0.55051,0.4668,0.72385,0.5259,0.49798,0.49975,0.54705,0.57185,0.51754,19.3
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,2,100,100,250,0.57022,0.61265,0.6968,0.40138,0.54086,0.57007,0.60597,0.65886,0.51758,0.69585,0.66185,0.57296,0.5403,0.6589,0.59496,0.56371,22.7
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,3,100,100,250,0.5935,0.62764,0.60381,0.60683,0.5753,0.61894,0.56618,0.6483,0.53516,0.6731,0.7483,0.62717,0.57615,0.59455,0.59082,0.58341,20.6
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,4,100,100,250,0.59998,0.68409,0.68209,0.3923,0.65794,0.54801,0.6583,0.66162,0.59961,0.685,0.7291,0.8079,0.5507,0.7702,0.63864,0.60711,22.5
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,5,100,100,250,0.6016,0.65599,0.67604,0.50649,0.57668,0.59948,0.6423,0.66529,0.54492,0.74015,0.709,0.63471,0.57955,0.746,0.58572,0.5968,21.4
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,6,100,100,250,0.61695,0.69396,0.76341,0.40182,0.66253,0.5904,0.71151,0.65381,0.53516,0.78845,0.7053,0.75848,0.5949,0.79485,0.60389,0.61188,21.9
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,200,7,100,100,250,0.63354,0.69647,0.65268,0.38452,0.73737,0.60424,0.78417,0.63315,0.63867,0.6897,0.71835,0.82081,0.59995,0.8371,0.63583,0.57356,23.0
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,0,150,150,350,0.6417,0.72309,0.68772,0.41998,0.71901,0.6968,0.66609,0.70661,0.5957,0.739,0.8275,0.83085,0.6214,0.7735,0.63413,0.63527,26.1
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,1,150,150,350,0.6332,0.70423,0.73529,0.3032,0.80579,0.68772,0.6808,0.6708,0.54883,0.75405,0.6307,0.87374,0.67865,0.8365,0.56053,0.59541,22.5
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,2,150,150,350,0.62092,0.68155,0.48313,0.42863,0.81497,0.71497,0.66912,0.64187,0.59375,0.5546,0.73545,0.86933,0.6881,0.74255,0.60293,0.57787,24.8
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,3,150,150,350,0.61928,0.70354,0.72189,0.35467,0.76309,0.67907,0.62197,0.63177,0.5625,0.7794,0.67285,0.8832,0.6349,0.71965,0.59985,0.63496,23.6
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,4,150,150,350,0.59058,0.66143,0.6224,0.36851,0.72911,0.56618,0.65528,0.60468,0.58789,0.6712,0.74285,0.78685,0.55595,0.7472,0.5347,0.59126,23.9
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,5,150,150,350,0.62927,0.7079,0.74351,0.49265,0.69284,0.65095,0.6237,0.66024,0.54102,0.80465,0.78295,0.81109,0.6164,0.74755,0.60033,0.59234,25.0
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,6,150,150,350,0.60006,0.67813,0.5891,0.4269,0.66116,0.66133,0.68901,0.63774,0.53516,0.69885,0.68545,0.78085,0.6015,0.7697,0.61377,0.5968,22.9
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,300,7,150,150,350,0.56109,0.62284,0.57093,0.34083,0.61341,0.58002,0.62543,0.63453,0.5625,0.6313,0.66005,0.65267,0.56055,0.7143,0.56882,0.57218,24.4
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,0,200,200,450,0.6139,0.68694,0.57223,0.38971,0.77089,0.64965,0.69334,0.67264,0.54883,0.6167,0.714,0.8519,0.62575,0.76475,0.62483,0.61065,26.5
instructions_nemotron_600.jsonl,instructions_nemotron_50.jsonl,400,1,200,200,450,0.6412,0.72619,0.64619,0.40225,0.77181,0.69464,0.734,0.64968,0.58984,0.6978,0.7784,0.87942,0.6427,0.8307,0.62855,0.62573,26.6
