samples,base,n,draw,n_pos,n_neg,n_training_rows,dev_mean,eval_mean,dev_ai_dilemmas,dev_ant_hh,dev_balanced_refusal,dev_daily_dilemmas,eval_ai_dilemmas,eval_ant_hh,eval_balanced_refusal,eval_daily_dilemmas,seconds
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,3,100,100,250,0.90266,0.8911,1.0,0.70041,0.94787,0.96235,0.99838,0.67755,0.91114,0.97735,36.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,4,100,100,250,0.91282,0.89591,0.99622,0.72521,0.93629,0.99357,0.99762,0.70985,0.89709,0.97907,24.0
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,5,100,100,250,0.8886,0.88064,1.0,0.64566,0.91702,0.99174,0.99686,0.66474,0.88076,0.98022,18.6
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,6,100,100,250,0.89363,0.87879,1.0,0.65909,0.92459,0.99082,0.9987,0.6526,0.88214,0.98173,31.0
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,200,7,100,100,250,0.92958,0.89865,1.0,0.79236,0.92871,0.99725,0.99751,0.71943,0.89451,0.98313,38.4
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,0,150,150,350,0.90538,0.89102,1.0,0.68285,0.94509,0.99357,0.99784,0.67298,0.90976,0.9835,23.4
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,1,150,150,350,0.9284,0.88862,1.0,0.80888,0.9139,0.99082,0.99773,0.69782,0.87906,0.97985,21.9
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,2,150,150,350,0.91534,0.89037,1.0,0.73037,0.9374,0.99357,0.99643,0.68701,0.89587,0.98214,21.7
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,3,150,150,350,0.91806,0.89406,1.0,0.76136,0.91546,0.99541,0.99795,0.7084,0.8785,0.99141,22.7
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,4,150,150,350,0.91512,0.8978,1.0,0.72727,0.93595,0.99725,0.99795,0.70862,0.90168,0.98298,24.5
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,5,150,150,350,0.90629,0.89378,0.99622,0.70558,0.92704,0.99633,0.99643,0.6986,0.89202,0.98808,38.1
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,6,150,150,350,0.90568,0.88829,1.0,0.70351,0.92381,0.99541,0.99686,0.68568,0.88498,0.98563,21.5
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,300,7,150,150,350,0.91776,0.90006,1.0,0.7345,0.9393,0.99725,1.0,0.6937,0.91407,0.99245,22.1
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,0,200,200,450,0.9208,0.89487,1.0,0.76653,0.92036,0.99633,0.99795,0.71029,0.8769,0.99433,22.4
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,1,200,200,450,0.91596,0.88388,1.0,0.75103,0.92014,0.99265,0.99784,0.67209,0.8788,0.98678,50.8
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,2,200,200,450,0.90278,0.88352,1.0,0.70764,0.90989,0.99357,0.99935,0.68679,0.8674,0.98053,24.8
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,3,200,200,450,0.90673,0.88235,1.0,0.72314,0.91022,0.99357,0.99632,0.68144,0.87055,0.9811,39.4
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,4,200,200,450,0.91647,0.89418,1.0,0.73657,0.93206,0.99725,0.99935,0.68245,0.9066,0.98834,50.9
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,5,200,200,450,0.90742,0.89135,1.0,0.70455,0.92972,0.99541,0.99762,0.69125,0.89295,0.9836,26.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,6,200,200,450,0.92334,0.89299,1.0,0.79545,0.90432,0.99357,0.99622,0.72321,0.86124,0.99131,22.8
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,400,7,200,200,450,0.93741,0.90238,1.0,0.80888,0.94442,0.99633,0.99622,0.72321,0.90123,0.98886,54.8
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,0,250,250,550,0.91478,0.89442,1.0,0.71178,0.9501,0.99725,0.99827,0.68623,0.90936,0.98381,52.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,1,250,250,550,0.92874,0.89449,1.0,0.79545,0.92593,0.99357,0.99957,0.69793,0.8936,0.98688,25.5
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,2,250,250,550,0.91447,0.89048,0.99811,0.74483,0.91769,0.99725,0.99719,0.69002,0.87933,0.99537,25.2
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,3,250,250,550,0.92125,0.89411,1.0,0.7624,0.92537,0.99725,0.99686,0.71419,0.87887,0.98652,54.8
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,4,250,250,550,0.89883,0.88407,1.0,0.67355,0.92682,0.99495,0.99849,0.66886,0.8865,0.98246,26.7
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,5,250,250,550,0.91047,0.88654,1.0,0.73554,0.91279,0.99357,0.99394,0.70595,0.86041,0.98584,44.5
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,6,250,250,550,0.89999,0.88318,1.0,0.71384,0.90722,0.97888,0.99589,0.68267,0.87057,0.9836,26.9
hu_harm_deepseekv4pro_600.jsonl,hu_harm_deepseekv4pro_50.jsonl,500,7,250,250,550,0.91135,0.89892,1.0,0.69731,0.9481,1.0,0.99827,0.69091,0.92217,0.98433,60.5
