arm,condition,seed,n_redteam_rows,n_train,n_val,dataset,auroc_pipeline,auroc_rank
gptoss120b,v3only,47,184,151,33,bbq_substitution,0.9136,0.9136
gptoss120b,v3only,47,184,151,33,hc_context_drift,0.756775427781911,0.7598575831650547
gptoss120b,v3only,47,184,151,33,hc_contradiction,0.9376500000000001,0.9377000000000001
gptoss120b,v3only,47,184,151,33,mm_substitution,0.9153000000000001,0.9153000000000001
gptoss120b,v3only,47,184,151,33,oig_context_drift,0.7042725050483579,0.7042725050483579
gptoss120b,v3only,47,184,151,33,oig_omission,0.6645121575869498,0.6645121575869498
gptoss120b,v3only,47,184,151,33,mean,0.7899514414881742,0.7903988922571947
gptoss120b,v3only,48,184,151,33,anthropic_harmless_refusal,0.36175,0.36175
gptoss120b,v3only,48,184,151,33,bbq_substitution,0.9102,0.90835
gptoss120b,v3only,48,184,151,33,hc_context_drift,0.7599638643851631,0.7912105430970346
gptoss120b,v3only,48,184,151,33,hc_contradiction,0.9253,0.9334
gptoss120b,v3only,48,184,151,33,mm_substitution,0.9214,0.9238000000000001
gptoss120b,v3only,48,184,151,33,oig_context_drift,0.7596981613348921,0.7596981613348921
gptoss120b,v3only,48,184,151,33,oig_omission,0.724222837796245,0.724222837796245
gptoss120b,v3only,48,184,151,33,mean,0.7660764090737572,0.7717759346040245
gptoss120b,v3only,49,184,151,33,anthropic_harmless_refusal,0.5519499999999999,0.5519499999999999
gptoss120b,v3only,49,184,151,33,bbq_substitution,0.90055,0.9004500000000001
gptoss120b,v3only,49,184,151,33,hc_context_drift,0.6888085875225848,0.6853013072590073
gptoss120b,v3only,49,184,151,33,hc_contradiction,0.9328000000000001,0.9368500000000001
gptoss120b,v3only,49,184,151,33,mm_substitution,0.9196500000000001,0.9197000000000001
gptoss120b,v3only,49,184,151,33,oig_context_drift,0.7380699330428314,0.7380699330428313
gptoss120b,v3only,49,184,151,33,oig_omission,0.7169898430286241,0.7169898430286241
gptoss120b,v3only,49,184,151,33,mean,0.7784026233705773,0.778473011904352
gptoss120b,v3only,50,184,151,33,anthropic_harmless_refusal,0.3992,0.3992
gptoss120b,v3only,50,184,151,33,bbq_substitution,0.8421500000000001,0.84185
gptoss120b,v3only,50,184,151,33,hc_context_drift,0.8564140716335423,0.8503560420873633
gptoss120b,v3only,50,184,151,33,hc_contradiction,0.8564,0.85695
gptoss120b,v3only,50,184,151,33,mm_substitution,0.9369,0.9369
gptoss120b,v3only,50,184,151,33,oig_context_drift,0.6644170475077054,0.6644170475077054
gptoss120b,v3only,50,184,151,33,oig_omission,0.5369344413665743,0.5369344413665743
gptoss120b,v3only,50,184,151,33,mean,0.7274879372154031,0.7266582187088061
gptoss120b,v3only,51,184,151,33,anthropic_harmless_refusal,0.33835000000000004,0.33835000000000004
gptoss120b,v3only,51,184,151,33,bbq_substitution,0.8955,0.89425
gptoss120b,v3only,51,184,151,33,hc_context_drift,0.7281326389626952,0.7332872781379529
gptoss120b,v3only,51,184,151,33,hc_contradiction,0.9325,0.9412499999999999
gptoss120b,v3only,51,184,151,33,mm_substitution,0.92455,0.92455
gptoss120b,v3only,51,184,151,33,oig_context_drift,0.7526836008077372,0.7526836008077372
gptoss120b,v3only,51,184,151,33,oig_omission,0.7219144352108341,0.7219144352108341
gptoss120b,v3only,51,184,151,33,mean,0.7562329535687524,0.7580407591652178
nemotron,v2,42,630,518,112,anthropic_harmless_refusal,0.7791500000000002,0.7791500000000001
nemotron,v2,42,630,518,112,bbq_substitution,0.97485,0.9748
nemotron,v2,42,630,518,112,hc_context_drift,0.8537039005207779,0.8679455840153045
nemotron,v2,42,630,518,112,hc_contradiction,0.76695,0.7658999999999999
nemotron,v2,42,630,518,112,mm_substitution,0.8542000000000001,0.8563500000000001
nemotron,v2,42,630,518,112,oig_context_drift,0.6762142629397386,0.6763736847699012
nemotron,v2,42,630,518,112,oig_omission,0.5452446906740536,0.5475530932594644
nemotron,v2,42,630,518,112,mean,0.7786161220192244,0.7811531945778102
nemotron,v2,43,630,518,112,anthropic_harmless_refusal,0.7482000000000001,0.7482
nemotron,v2,43,630,518,112,bbq_substitution,0.95235,0.95105
nemotron,v2,43,630,518,112,hc_context_drift,0.911414603039643,0.922680412371134
nemotron,v2,43,630,518,112,hc_contradiction,0.7432500000000001,0.7429999999999999
nemotron,v2,43,630,518,112,mm_substitution,0.8912,0.89205
nemotron,v2,43,630,518,112,oig_context_drift,0.6794026995429907,0.6790307152726113
nemotron,v2,43,630,518,112,oig_omission,0.5757156048014773,0.5757156048014774
nemotron,v2,43,630,518,112,mean,0.7859332724834444,0.7873895332064603
nemotron,v2,44,630,518,112,anthropic_harmless_refusal,0.79655,0.7966
nemotron,v2,44,630,518,112,bbq_substitution,0.96275,0.962
nemotron,v2,44,630,518,112,hc_context_drift,0.880858752258476,0.891327452439154
nemotron,v2,44,630,518,112,hc_contradiction,0.7594,0.75915
nemotron,v2,44,630,518,112,mm_substitution,0.9299499999999999,0.9355
nemotron,v2,44,630,518,112,oig_context_drift,0.7060261451801467,0.7059198639600384
nemotron,v2,44,630,518,112,oig_omission,0.5918744228993537,0.5918744228993537
nemotron,v2,44,630,518,112,mean,0.8039156171911394,0.806053105614078
nemotron,v2,45,630,518,112,anthropic_harmless_refusal,0.682,0.6819999999999999
nemotron,v2,45,630,518,112,bbq_substitution,0.9719,0.9721
nemotron,v2,45,630,518,112,hc_context_drift,0.8028483366989053,0.8097566160059517
nemotron,v2,45,630,518,112,hc_contradiction,0.8130000000000001,0.81225
nemotron,v2,45,630,518,112,mm_substitution,0.8819000000000001,0.88425
