dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.8015160923821217,0.7864051441472112,0.252626050420168,0.01,linear_then_max,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.6319817042842251,0.627779469996954,0.0,0.01,linear_then_max,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.7447590875073712,0.7367486584185913,0.0,0.01,linear_then_max,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.651843298125484,0.6472197461073982,0.0,0.01,linear_then_max,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.7545965343302455,0.7471039759187257,0.0,0.01,linear_then_max,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.6964246360582049,0.6948090094246654,0.0943877551020408,0.01,linear_then_max,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.7148119381947022,0.7133534271917722,0.1581632653061224,0.01,linear_then_max,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.6915967013746183,0.6838023530307644,0.0637755102040816,0.01,linear_then_max,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.7270711804914465,0.7140854177491892,0.2778061224489796,0.01,linear_then_max,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.6209682700804328,0.6172227697048969,0.0,0.01,linear_then_max,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.6237050799102778,0.6202986754403254,0.0558223289315726,0.01,linear_then_max,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.747723123918213,0.740134012560248,0.086734693877551,0.01,linear_then_max,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.7421955611239182,0.7388977195355755,0.1301020408163265,0.01,linear_then_max,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.7059097536296309,0.7041422389851463,0.0,0.01,linear_then_max,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.7748207146911235,0.6763636312734048,0.0357142857142857,0.01,linear_then_mean,far_s101,far,725,81,72,101
mean,0.7721768604130949,0.6676067777857411,0.1082142857142857,0.01,linear_then_mean,far_s202,far,725,81,72,202
mean,0.7714326929838387,0.6663499242980775,0.0,0.01,linear_then_mean,far_s303,far,725,81,72,303
mean,0.7729153755278261,0.6763032825070326,0.0382653061224489,0.01,linear_then_mean,far_s404,far,725,81,72,404
mean,0.7709736447497986,0.6675831937252513,0.0,0.01,linear_then_mean,far_s42,far,725,81,72,42
mean,0.7726681882188114,0.6794537927111142,0.0,0.01,linear_then_mean,full_s101,full,806,0,72,101
mean,0.7767529903341229,0.6744469392234507,0.0,0.01,linear_then_mean,full_s202,full,806,0,72,202
mean,0.7731156170377176,0.6713145370088334,0.0,0.01,linear_then_mean,full_s303,full,806,0,72,303
mean,0.7736510080511136,0.6713405959398685,0.0,0.01,linear_then_mean,full_s404,full,806,0,72,404
mean,0.7731602129646232,0.6720695628997868,0.0,0.01,linear_then_mean,full_s42,full,806,0,72,42
mean,0.775590695146798,0.6739352345415779,0.07,0.01,linear_then_mean,near_s101,near,725,81,72,101
mean,0.7715484815887207,0.673233703929333,0.0775,0.01,linear_then_mean,near_s202,near,725,81,72,202
mean,0.7754240778329548,0.6744998857752056,0.0,0.01,linear_then_mean,near_s303,near,725,81,72,303
mean,0.7744222715346188,0.6813562290587878,0.07,0.01,linear_then_mean,near_s404,near,725,81,72,404
mean,0.7707225869609007,0.6738748857752055,0.0,0.01,linear_then_mean,near_s42,near,725,81,72,42
mean,0.779694663598448,0.6714028708498325,0.0,0.01,linear_then_mean,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.7791046113288295,0.6732081937252513,0.0,0.01,linear_then_mean,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.7799310455603474,0.6764097243374962,0.0,0.01,linear_then_mean,neardraw_d0_s303,neardraw,725,81,72,303
mean,0.7766997860701791,0.6745788912579957,0.09,0.01,linear_then_mean,neardraw_d0_s404,neardraw,725,81,72,404
mean,0.7752959314893058,0.6725831937252513,0.0,0.01,linear_then_mean,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.7753394783931109,0.6725576835211697,0.07875,0.01,linear_then_mean,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.7823021998350786,0.6757847243374963,0.09125,0.01,linear_then_mean,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.78402400010956,0.6926018280446506,0.09125,0.01,linear_then_mean,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.7806021503005796,0.6826646516815681,0.0,0.01,linear_then_mean,neardraw_d4_s42,neardraw,725,81,72,42
mean,0.7758982289015356,0.6806744302198492,0.1079591836734693,0.01,linear_then_mean,neardraw_d5_s42,neardraw,725,81,72,42
mean,0.7781249498844068,0.6694581937252513,0.08125,0.01,linear_then_mean,neardraw_d6_s42,neardraw,725,81,72,42
mean,0.7718398894327066,0.676349375571124,0.08375,0.01,linear_then_mean,neardraw_d7_s42,neardraw,725,81,72,42
mean,0.7768788923638582,0.6852524367956137,0.0,0.01,linear_then_mean,neardraw_d8_s42,neardraw,725,81,72,42
mean,0.7717773203223952,0.6769812290587878,0.07125,0.01,linear_then_mean,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.8111686709372266,0.7844697953808389,0.2099489795918367,0.01,linear_then_rolling_max,far_s101,far,725,81,72,101
mean,0.7757464683522088,0.7677238246044686,0.3786896848291555,0.01,linear_then_rolling_max,far_s202,far,725,81,72,202
mean,0.7889184352943226,0.7692928477361093,0.3585190643421547,0.01,linear_then_rolling_max,far_s303,far,725,81,72,303
mean,0.7826097472389864,0.7718433194173191,0.1454081632653061,0.01,linear_then_rolling_max,far_s404,far,725,81,72,404
mean,0.7830280098104706,0.7542594089874756,0.4020589355145043,0.01,linear_then_rolling_max,far_s42,far,725,81,72,42
mean,0.7881687362717444,0.7693765341957679,0.2737094837935174,0.01,linear_then_rolling_max,full_s101,full,806,0,72,101
mean,0.7979547546831995,0.7556070711866836,0.328461996738994,0.01,linear_then_rolling_max,full_s202,full,806,0,72,202
mean,0.795317171944975,0.7730922443604308,0.2352882272311909,0.01,linear_then_rolling_max,full_s303,full,806,0,72,303
mean,0.7657244709480674,0.7591647479887478,0.1338714590313737,0.01,linear_then_rolling_max,full_s404,full,806,0,72,404
mean,0.7911797004382496,0.7625212883660927,0.2829861944777911,0.01,linear_then_rolling_max,full_s42,full,806,0,72,42
mean,0.7506758274145143,0.7349417565533676,0.1403061224489795,0.01,linear_then_rolling_max,near_s101,near,725,81,72,101
mean,0.800465782839296,0.742863973947788,0.2871785803873788,0.01,linear_then_rolling_max,near_s202,near,725,81,72,202
mean,0.7916866877730808,0.759961488326674,0.2460054021608643,0.01,linear_then_rolling_max,near_s303,near,725,81,72,303
mean,0.7896938489747418,0.7706051226460733,0.304277472182903,0.01,linear_then_rolling_max,near_s404,near,725,81,72,404
mean,0.8130104566083635,0.7605400705058143,0.3439124231782265,0.01,linear_then_rolling_max,near_s42,near,725,81,72,42
mean,0.7996933195061783,0.7761810283815019,0.2600105042016806,0.01,linear_then_rolling_max,neardraw_d0_s101,neardraw,725,81,72,101
mean,0.8377243014068559,0.7858852085610364,0.2604336734693877,0.01,linear_then_rolling_max,neardraw_d0_s202,neardraw,725,81,72,202
mean,0.7794162111271421,0.7673863127340489,0.142984693877551,0.01,linear_then_rolling_max,neardraw_d0_s303,neardraw,725,81,72,303
