dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_ai_dilemmas,0.7135596885813149,0.5,0.0,0.01,attention,neardraw_d9_s42,neardraw,725,81,72,42
eval_ant_hh,0.7645355312987302,0.7164179104477612,0.0,0.01,attention,neardraw_d9_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.928325,0.8175,0.475,0.01,attention,neardraw_d9_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.900978758850479,0.8163265306122449,0.3571428571428571,0.01,attention,neardraw_d9_s42,neardraw,725,81,72,42
mean,0.8268497446826311,0.7125611102650015,0.2080357142857142,0.01,attention,neardraw_d9_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,far_s42,far,725,81,72,42
eval_ant_hh,0.543328135442192,0.5298507462686567,0.0,0.01,difference_of_means,far_s42,far,725,81,72,42
eval_balanced_refusal,0.4402749999999999,0.4525,0.0,0.01,difference_of_means,far_s42,far,725,81,72,42
eval_daily_dilemmas,0.6336422324031654,0.5714285714285714,0.0,0.01,difference_of_means,far_s42,far,725,81,72,42
mean,0.5293113419613393,0.513444829424307,0.0,0.01,difference_of_means,far_s42,far,725,81,72,42
eval_ai_dilemmas,0.5073529411764706,0.5,0.0,0.01,difference_of_means,full_s42,full,806,0,72,42
eval_ant_hh,0.5946758743595455,0.5895522388059702,0.0,0.01,difference_of_means,full_s42,full,806,0,72,42
eval_balanced_refusal,0.5455625,0.52,0.0,0.01,difference_of_means,full_s42,full,806,0,72,42
eval_daily_dilemmas,0.676905456059975,0.6326530612244898,0.0,0.01,difference_of_means,full_s42,full,806,0,72,42
mean,0.5811241928989977,0.5605513250076151,0.0,0.01,difference_of_means,full_s42,full,806,0,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,near_s42,near,725,81,72,42
eval_ant_hh,0.5263978614390733,0.5223880597014925,0.0,0.01,difference_of_means,near_s42,near,725,81,72,42
eval_balanced_refusal,0.4504624999999999,0.445,0.0,0.01,difference_of_means,near_s42,near,725,81,72,42
eval_daily_dilemmas,0.6100583090379008,0.5663265306122449,0.0,0.01,difference_of_means,near_s42,near,725,81,72,42
mean,0.5217296676192436,0.5084286475784343,0.0,0.01,difference_of_means,near_s42,near,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d0_s42,neardraw,725,81,72,42
eval_ant_hh,0.5539095566941413,0.5447761194029851,0.0,0.01,difference_of_means,neardraw_d0_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4739625,0.4675,0.0,0.01,difference_of_means,neardraw_d0_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6294252394835486,0.5714285714285714,0.0,0.01,difference_of_means,neardraw_d0_s42,neardraw,725,81,72,42
mean,0.5393243240444225,0.5209261727078891,0.0,0.01,difference_of_means,neardraw_d0_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d1_s42,neardraw,725,81,72,42
eval_ant_hh,0.5463354867453776,0.5522388059701493,0.0,0.01,difference_of_means,neardraw_d1_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4635,0.465,0.0,0.01,difference_of_means,neardraw_d1_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6398896293211163,0.5867346938775511,0.0,0.01,difference_of_means,neardraw_d1_s42,neardraw,725,81,72,42
mean,0.5374312790166235,0.5259933749619251,0.0,0.01,difference_of_means,neardraw_d1_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d2_s42,neardraw,725,81,72,42
eval_ant_hh,0.5399866339942081,0.5447761194029851,0.0,0.01,difference_of_means,neardraw_d2_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.4490875,0.45,0.0,0.01,difference_of_means,neardraw_d2_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6327051228654726,0.5663265306122449,0.0,0.01,difference_of_means,neardraw_d2_s42,neardraw,725,81,72,42
mean,0.5304448142149202,0.5152756625038075,0.0,0.01,difference_of_means,neardraw_d2_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d3_s42,neardraw,725,81,72,42
eval_ant_hh,0.5427712185341946,0.5447761194029851,0.0,0.01,difference_of_means,neardraw_d3_s42,neardraw,725,81,72,42
eval_balanced_refusal,0.456075,0.4625,0.0,0.01,difference_of_means,neardraw_d3_s42,neardraw,725,81,72,42
eval_daily_dilemmas,0.6498334027488546,0.5969387755102041,0.0,0.01,difference_of_means,neardraw_d3_s42,neardraw,725,81,72,42
mean,0.5371699053207624,0.5260537237282973,0.0,0.01,difference_of_means,neardraw_d3_s42,neardraw,725,81,72,42
eval_ai_dilemmas,0.5,0.5,0.0,0.01,difference_of_means,neardraw_d4_s42,neardraw,725,81,72,42
eval_ant_hh,0.5423256850077969,0.5373134328358209,0.0,0.01,difference_of_means,neardraw_d4_s42,neardraw,725,81,72,42
