dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
eval_daily_dilemmas,0.8996772178259059,0.8112244897959183,0.2857142857142857,0.01,attention,full_s808,full,736,0,142,808
mean,0.8222904835247256,0.7025635851355467,0.1876785714285714,0.01,attention,full_s808,full,736,0,142,808
eval_ai_dilemmas,0.6887975778546712,0.5,0.0,0.01,attention,full_s909,full,736,0,142,909
eval_ant_hh,0.7873691245266208,0.7014925373134329,0.0,0.01,attention,full_s909,full,736,0,142,909
eval_balanced_refusal,0.90185,0.7925,0.365,0.01,attention,full_s909,full,736,0,142,909
eval_daily_dilemmas,0.8837463556851312,0.7908163265306123,0.2959183673469387,0.01,attention,full_s909,full,736,0,142,909
mean,0.8154407645166057,0.6962022159610113,0.1652295918367347,0.01,attention,full_s909,full,736,0,142,909
eval_ai_dilemmas,0.7020977508650519,0.5,0.0,0.01,attention,neardraw_d0_s42,neardraw,662,74,142,42
eval_ant_hh,0.7527288928491869,0.7014925373134329,0.0,0.01,attention,neardraw_d0_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.91765,0.8175,0.515,0.01,attention,neardraw_d0_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.8923885880882966,0.8112244897959183,0.3469387755102041,0.01,attention,neardraw_d0_s42,neardraw,662,74,142,42
mean,0.8162163079506338,0.7075542567773377,0.215484693877551,0.01,attention,neardraw_d0_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6882569204152249,0.5,0.0,0.01,attention,neardraw_d1_s42,neardraw,662,74,142,42
eval_ant_hh,0.7687680997995099,0.6716417910447762,0.0,0.01,attention,neardraw_d1_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.902475,0.7925,0.385,0.01,attention,neardraw_d1_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.9003019575177009,0.8163265306122449,0.0,0.01,attention,neardraw_d1_s42,neardraw,662,74,142,42
mean,0.8149504944331089,0.6951170804142552,0.09625,0.01,attention,neardraw_d1_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6988538062283738,0.5,0.0,0.01,attention,neardraw_d2_s42,neardraw,662,74,142,42
eval_ant_hh,0.7975050122521721,0.7388059701492538,0.0,0.01,attention,neardraw_d2_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.9129375,0.82,0.43,0.01,attention,neardraw_d2_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.9095168679716784,0.8112244897959183,0.0,0.01,attention,neardraw_d2_s42,neardraw,662,74,142,42
mean,0.8297032966130561,0.717507614986293,0.1075,0.01,attention,neardraw_d2_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6875,0.5,0.0,0.01,attention,neardraw_d3_s42,neardraw,662,74,142,42
eval_ant_hh,0.7723323680106928,0.6940298507462687,0.0,0.01,attention,neardraw_d3_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.89815,0.8,0.465,0.01,attention,neardraw_d3_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.8774989587671804,0.7959183673469388,0.2653061224489796,0.01,attention,neardraw_d3_s42,neardraw,662,74,142,42
mean,0.8088703316944683,0.6974870545233018,0.1825765306122449,0.01,attention,neardraw_d3_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6834991349480969,0.5,0.0,0.01,attention,neardraw_d4_s42,neardraw,662,74,142,42
eval_ant_hh,0.7822454889730452,0.7014925373134329,0.0,0.01,attention,neardraw_d4_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.89635,0.795,0.39,0.01,attention,neardraw_d4_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.8967617659308622,0.8061224489795918,0.0,0.01,attention,neardraw_d4_s42,neardraw,662,74,142,42
mean,0.8147140974630012,0.7006537465732562,0.0975,0.01,attention,neardraw_d4_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6961505190311419,0.5,0.0,0.01,attention,neardraw_d5_s42,neardraw,662,74,142,42
eval_ant_hh,0.7912675428826019,0.7014925373134329,0.0,0.01,attention,neardraw_d5_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.89805,0.7875,0.38,0.01,attention,neardraw_d5_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.9001457725947523,0.8214285714285714,0.0,0.01,attention,neardraw_d5_s42,neardraw,662,74,142,42
mean,0.821403458627124,0.7026052771855011,0.095,0.01,attention,neardraw_d5_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6903114186851211,0.5,0.0,0.01,attention,neardraw_d6_s42,neardraw,662,74,142,42
eval_ant_hh,0.7832479394074404,0.7014925373134329,0.0,0.01,attention,neardraw_d6_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.9109125,0.7975,0.47,0.01,attention,neardraw_d6_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.8861411911703456,0.7959183673469388,0.3061224489795918,0.01,attention,neardraw_d6_s42,neardraw,662,74,142,42
mean,0.8176532623157269,0.6987277261650928,0.1940306122448979,0.01,attention,neardraw_d6_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.7014489619377163,0.5,0.0,0.01,attention,neardraw_d7_s42,neardraw,662,74,142,42
eval_ant_hh,0.7626420138115393,0.7014925373134329,0.0,0.01,attention,neardraw_d7_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.9091375,0.805,0.49,0.01,attention,neardraw_d7_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.9021761765930862,0.8214285714285714,0.0,0.01,attention,neardraw_d7_s42,neardraw,662,74,142,42
mean,0.8188511630855855,0.7069802771855012,0.1225,0.01,attention,neardraw_d7_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6880406574394463,0.5,0.0,0.01,attention,neardraw_d8_s42,neardraw,662,74,142,42
eval_ant_hh,0.7613054132323457,0.6865671641791045,0.0,0.01,attention,neardraw_d8_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.913225,0.81,0.515,0.01,attention,neardraw_d8_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.8922844648063307,0.7908163265306123,0.3673469387755102,0.01,attention,neardraw_d8_s42,neardraw,662,74,142,42
mean,0.8137138838695307,0.6968458726774291,0.2205867346938775,0.01,attention,neardraw_d8_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6868512110726643,0.5,0.0,0.01,attention,neardraw_d9_s42,neardraw,662,74,142,42
eval_ant_hh,0.7787926041434619,0.6940298507462687,0.0,0.01,attention,neardraw_d9_s42,neardraw,662,74,142,42
eval_balanced_refusal,0.8991250000000001,0.795,0.395,0.01,attention,neardraw_d9_s42,neardraw,662,74,142,42
eval_daily_dilemmas,0.8854643898375677,0.7857142857142857,0.3265306122448979,0.01,attention,neardraw_d9_s42,neardraw,662,74,142,42
mean,0.8125583012634235,0.6936860341151385,0.1803826530612244,0.01,attention,neardraw_d9_s42,neardraw,662,74,142,42
eval_ai_dilemmas,0.6029411764705883,0.6102941176470589,0.0,0.01,linear_then_max,far_s101,far,662,74,142,101
eval_ant_hh,0.7171975941189574,0.6940298507462687,0.0,0.01,linear_then_max,far_s101,far,662,74,142,101
eval_balanced_refusal,0.753175,0.7525,0.39,0.01,linear_then_max,far_s101,far,662,74,142,101
eval_daily_dilemmas,0.8956684714702208,0.8928571428571429,0.4795918367346938,0.01,linear_then_max,far_s101,far,662,74,142,101
mean,0.7422455605149416,0.7374202778126175,0.2173979591836734,0.01,linear_then_max,far_s101,far,662,74,142,101
eval_ai_dilemmas,0.4926470588235294,0.5,0.0,0.01,linear_then_max,far_s202,far,662,74,142,202
eval_ant_hh,0.6781020271775451,0.664179104477612,0.0,0.01,linear_then_max,far_s202,far,662,74,142,202
eval_balanced_refusal,0.7475,0.7475,0.0,0.01,linear_then_max,far_s202,far,662,74,142,202
eval_daily_dilemmas,0.6111516034985423,0.6071428571428571,0.0,0.01,linear_then_max,far_s202,far,662,74,142,202
mean,0.6323501723749042,0.6297054904051173,0.0,0.01,linear_then_max,far_s202,far,662,74,142,202
eval_ai_dilemmas,0.5,0.5073529411764706,0.0,0.01,linear_then_max,far_s303,far,662,74,142,303
eval_ant_hh,0.6858988638895077,0.6791044776119403,0.0,0.01,linear_then_max,far_s303,far,662,74,142,303
eval_balanced_refusal,0.775,0.775,0.0,0.01,linear_then_max,far_s303,far,662,74,142,303
eval_daily_dilemmas,0.8610995418575593,0.8571428571428571,0.5102040816326531,0.01,linear_then_max,far_s303,far,662,74,142,303
mean,0.7054996014367667,0.704650068982817,0.1275510204081632,0.01,linear_then_max,far_s303,far,662,74,142,303
eval_ai_dilemmas,0.5661764705882353,0.5735294117647058,0.0,0.01,linear_then_max,far_s404,far,662,74,142,404
eval_ant_hh,0.705613722432613,0.6791044776119403,0.0,0.01,linear_then_max,far_s404,far,662,74,142,404
eval_balanced_refusal,0.7875,0.7875,0.0,0.01,linear_then_max,far_s404,far,662,74,142,404
eval_daily_dilemmas,0.9095168679716784,0.903061224489796,0.6836734693877551,0.01,linear_then_max,far_s404,far,662,74,142,404
mean,0.7422017652481318,0.7357987784666105,0.1709183673469387,0.01,linear_then_max,far_s404,far,662,74,142,404
eval_ai_dilemmas,0.4926470588235294,0.5,0.0,0.01,linear_then_max,far_s42,far,662,74,142,42
eval_ant_hh,0.7047226553798174,0.6791044776119403,0.0,0.01,linear_then_max,far_s42,far,662,74,142,42
eval_balanced_refusal,0.78,0.78,0.0,0.01,linear_then_max,far_s42,far,662,74,142,42
eval_daily_dilemmas,0.8384006663890047,0.8367346938775511,0.0,0.01,linear_then_max,far_s42,far,662,74,142,42
mean,0.7039425951480879,0.6989597928723729,0.0,0.01,linear_then_max,far_s42,far,662,74,142,42
eval_ai_dilemmas,0.7205882352941176,0.7205882352941176,0.0,0.01,linear_then_max,far_s505,far,662,74,142,505
eval_ant_hh,0.6759857429271553,0.6417910447761194,0.0,0.01,linear_then_max,far_s505,far,662,74,142,505
eval_balanced_refusal,0.7675000000000001,0.7675,0.0,0.01,linear_then_max,far_s505,far,662,74,142,505
eval_daily_dilemmas,0.8112244897959184,0.8061224489795918,0.6224489795918368,0.01,linear_then_max,far_s505,far,662,74,142,505
mean,0.7438246170042979,0.7340004322624573,0.1556122448979592,0.01,linear_then_max,far_s505,far,662,74,142,505
eval_ai_dilemmas,0.5,0.5,0.0,0.01,linear_then_max,far_s606,far,662,74,142,606
eval_ant_hh,0.5,0.5,0.0,0.01,linear_then_max,far_s606,far,662,74,142,606
eval_balanced_refusal,0.5,0.5,0.0,0.01,linear_then_max,far_s606,far,662,74,142,606
eval_daily_dilemmas,0.5,0.5,0.0,0.01,linear_then_max,far_s606,far,662,74,142,606
mean,0.5,0.5,0.0,0.01,linear_then_max,far_s606,far,662,74,142,606
eval_ai_dilemmas,0.7132352941176471,0.7132352941176471,0.0,0.01,linear_then_max,far_s707,far,662,74,142,707
eval_ant_hh,0.6640677210960126,0.6492537313432836,0.0,0.01,linear_then_max,far_s707,far,662,74,142,707
eval_balanced_refusal,0.7525,0.7525,0.0,0.01,linear_then_max,far_s707,far,662,74,142,707
eval_daily_dilemmas,0.8761974177426072,0.8724489795918368,0.6224489795918368,0.01,linear_then_max,far_s707,far,662,74,142,707
mean,0.7515001082390667,0.7468595012631919,0.1556122448979592,0.01,linear_then_max,far_s707,far,662,74,142,707
eval_ai_dilemmas,0.5291955017301039,0.5367647058823529,0.0294117647058823,0.01,linear_then_max,far_s808,far,662,74,142,808
eval_ant_hh,0.6794386277567387,0.664179104477612,0.0,0.01,linear_then_max,far_s808,far,662,74,142,808
eval_balanced_refusal,0.7075,0.7075,0.0,0.01,linear_then_max,far_s808,far,662,74,142,808
eval_daily_dilemmas,0.7091836734693877,0.7040816326530612,0.4183673469387755,0.01,linear_then_max,far_s808,far,662,74,142,808
mean,0.6563294507390576,0.6531313607532565,0.1119447779111644,0.01,linear_then_max,far_s808,far,662,74,142,808
eval_ai_dilemmas,0.5220588235294118,0.5294117647058824,0.0,0.01,linear_then_max,far_s909,far,662,74,142,909
eval_ant_hh,0.6436845622633104,0.6268656716417911,0.0,0.01,linear_then_max,far_s909,far,662,74,142,909
eval_balanced_refusal,0.7325,0.7325,0.0,0.01,linear_then_max,far_s909,far,662,74,142,909
eval_daily_dilemmas,0.6566014160766348,0.6530612244897959,0.0,0.01,linear_then_max,far_s909,far,662,74,142,909
mean,0.6387112004673392,0.6354596652093673,0.0,0.01,linear_then_max,far_s909,far,662,74,142,909
eval_ai_dilemmas,0.5294117647058824,0.5367647058823529,0.0,0.01,linear_then_max,full_s101,full,736,0,142,101
eval_ant_hh,0.7185341946981509,0.7089552238805971,0.0,0.01,linear_then_max,full_s101,full,736,0,142,101
eval_balanced_refusal,0.7725,0.7725,0.0,0.01,linear_then_max,full_s101,full,736,0,142,101
eval_daily_dilemmas,0.8118492294877134,0.8010204081632653,0.5816326530612245,0.01,linear_then_max,full_s101,full,736,0,142,101
mean,0.7080737972229366,0.7048100844815538,0.1454081632653061,0.01,linear_then_max,full_s101,full,736,0,142,101
eval_ai_dilemmas,0.4926470588235294,0.5,0.0,0.01,linear_then_max,full_s202,full,736,0,142,202
eval_ant_hh,0.6769881933615505,0.664179104477612,0.0,0.01,linear_then_max,full_s202,full,736,0,142,202
eval_balanced_refusal,0.7325,0.7325,0.0,0.01,linear_then_max,full_s202,full,736,0,142,202
eval_daily_dilemmas,0.6414514785506039,0.6377551020408163,0.0,0.01,linear_then_max,full_s202,full,736,0,142,202
mean,0.635896682683921,0.633608551629607,0.0,0.01,linear_then_max,full_s202,full,736,0,142,202
eval_ai_dilemmas,0.4926470588235294,0.5,0.0,0.01,linear_then_max,full_s303,full,736,0,142,303
eval_ant_hh,0.4925373134328358,0.5,0.0,0.01,linear_then_max,full_s303,full,736,0,142,303
eval_balanced_refusal,0.4975,0.5,0.0,0.01,linear_then_max,full_s303,full,736,0,142,303
eval_daily_dilemmas,0.5051020408163265,0.5,0.0,0.01,linear_then_max,full_s303,full,736,0,142,303
mean,0.4969466032681729,0.5,0.0,0.01,linear_then_max,full_s303,full,736,0,142,303
eval_ai_dilemmas,0.5,0.5073529411764706,0.0,0.01,linear_then_max,full_s404,full,736,0,142,404
eval_ant_hh,0.7232122967253285,0.7014925373134329,0.0,0.01,linear_then_max,full_s404,full,736,0,142,404
eval_balanced_refusal,0.775,0.775,0.0,0.01,linear_then_max,full_s404,full,736,0,142,404
eval_daily_dilemmas,0.6527488546438984,0.6479591836734694,0.2755102040816326,0.01,linear_then_max,full_s404,full,736,0,142,404
mean,0.6627402878423068,0.6579511655408432,0.0688775510204081,0.01,linear_then_max,full_s404,full,736,0,142,404
eval_ai_dilemmas,0.573529411764706,0.5808823529411765,0.0,0.01,linear_then_max,full_s42,full,736,0,142,42
eval_ant_hh,0.6789930942303408,0.664179104477612,0.0,0.01,linear_then_max,full_s42,full,736,0,142,42
eval_balanced_refusal,0.7849999999999999,0.785,0.0,0.01,linear_then_max,full_s42,full,736,0,142,42
eval_daily_dilemmas,0.6970012494793836,0.6938775510204082,0.0,0.01,linear_then_max,full_s42,full,736,0,142,42
mean,0.6836309388686076,0.6809847521097991,0.0,0.01,linear_then_max,full_s42,full,736,0,142,42
eval_ai_dilemmas,0.4926470588235294,0.5,0.0,0.01,linear_then_max,full_s505,full,736,0,142,505
eval_ant_hh,0.4925373134328358,0.5,0.0,0.01,linear_then_max,full_s505,full,736,0,142,505
eval_balanced_refusal,0.4975,0.5,0.0,0.01,linear_then_max,full_s505,full,736,0,142,505
eval_daily_dilemmas,0.5051020408163265,0.5,0.0,0.01,linear_then_max,full_s505,full,736,0,142,505
mean,0.4969466032681729,0.5,0.0,0.01,linear_then_max,full_s505,full,736,0,142,505
eval_ai_dilemmas,0.6544117647058824,0.6617647058823529,0.0,0.01,linear_then_max,full_s606,full,736,0,142,606
eval_ant_hh,0.7713299175762975,0.746268656716418,0.0,0.01,linear_then_max,full_s606,full,736,0,142,606
eval_balanced_refusal,0.7775000000000001,0.7775,0.0,0.01,linear_then_max,full_s606,full,736,0,142,606
eval_daily_dilemmas,0.8535506039150355,0.8520408163265306,0.0,0.01,linear_then_max,full_s606,full,736,0,142,606
