dataset,auroc,accuracy,tpr_at_fpr,fpr,arch,run,arm,n_kept,n_dropped,n_excluded,init_seed
mean,0.8102976438970836,0.7874825751196001,0.3002430972388955,0.01,linear_then_rolling_max,full_s909,full,736,0,142,909
mean,0.7852773730002001,0.7568320873125369,0.1479591836734693,0.01,linear_then_rolling_max,neardraw_d0_s42,neardraw,662,74,142,42
mean,0.5477979407134991,0.5,0.0,0.01,linear_then_rolling_max,neardraw_d1_s42,neardraw,662,74,142,42
mean,0.8181594973375276,0.7745831130959846,0.0765306122448979,0.01,linear_then_rolling_max,neardraw_d2_s42,neardraw,662,74,142,42
mean,0.7981835464540823,0.7800914918206089,0.2403961584633853,0.01,linear_then_rolling_max,neardraw_d3_s42,neardraw,662,74,142,42
mean,0.799091495597274,0.7726156246080521,0.2336434573829531,0.01,linear_then_rolling_max,neardraw_d4_s42,neardraw,662,74,142,42
mean,0.7964749522525831,0.7566602909820644,0.1744897959183673,0.01,linear_then_rolling_max,neardraw_d5_s42,neardraw,662,74,142,42
mean,0.7809242995283241,0.7728258654207951,0.1554599451720986,0.01,linear_then_rolling_max,neardraw_d6_s42,neardraw,662,74,142,42
mean,0.74864321462435,0.7156230290623713,0.1479591836734693,0.01,linear_then_rolling_max,neardraw_d7_s42,neardraw,662,74,142,42
mean,0.8160716316518822,0.7759444822705202,0.1071428571428571,0.01,linear_then_rolling_max,neardraw_d8_s42,neardraw,662,74,142,42
mean,0.7932211005440076,0.780015487538299,0.268157262905162,0.01,linear_then_rolling_max,neardraw_d9_s42,neardraw,662,74,142,42
mean,0.8877395940671522,0.7205776639013814,0.5149564825930372,0.01,linear_then_softmax,far_s101,far,662,74,142,101
mean,0.8651763843610052,0.7162309513357582,0.4125795318127251,0.01,linear_then_softmax,far_s202,far,662,74,142,202
mean,0.8787609530086166,0.7263859387038397,0.4668397358943577,0.01,linear_then_softmax,far_s303,far,662,74,142,303
mean,0.879955471716887,0.7440442520291699,0.4690441176470588,0.01,linear_then_softmax,far_s404,far,662,74,142,404
mean,0.8939688209313599,0.7380916956334773,0.4760459183673469,0.01,linear_then_softmax,far_s42,far,662,74,142,42
mean,0.8851115781487107,0.7319207011162674,0.481623649459784,0.01,linear_then_softmax,far_s505,far,662,74,142,505
mean,0.8858449532959256,0.7289136998082815,0.4829171668667467,0.01,linear_then_softmax,far_s606,far,662,74,142,606
mean,0.873929609305719,0.70005888176166,0.3942091836734693,0.01,linear_then_softmax,far_s707,far,662,74,142,707
mean,0.901477717708828,0.7558155090394366,0.5554711884753901,0.01,linear_then_softmax,far_s808,far,662,74,142,808
mean,0.8884972696661768,0.7291241085986633,0.4732412965186074,0.01,linear_then_softmax,far_s909,far,662,74,142,909
mean,0.89679312631814,0.7393304411316765,0.2898469387755102,0.01,linear_then_softmax,full_s101,full,736,0,142,101
mean,0.8764872770982,0.7435715405565211,0.4075405162064826,0.01,linear_then_softmax,full_s202,full,736,0,142,202
mean,0.8780339821161944,0.7299010947662647,0.4385249099639856,0.01,linear_then_softmax,full_s303,full,736,0,142,303
mean,0.8739617624356404,0.7352177214169251,0.4828511404561825,0.01,linear_then_softmax,full_s404,full,736,0,142,404
mean,0.8873702224480123,0.733409397341026,0.4930492196878751,0.01,linear_then_softmax,full_s42,full,736,0,142,42
mean,0.8693329684695623,0.7203826642597337,0.3272629051620648,0.01,linear_then_softmax,full_s505,full,736,0,142,505
mean,0.901917188855357,0.7451529716364158,0.4835909363745498,0.01,linear_then_softmax,full_s606,full,736,0,142,606
mean,0.8891236092511352,0.7452284271917722,0.5174834933973589,0.01,linear_then_softmax,full_s707,full,736,0,142,707
mean,0.8907976421173109,0.722988255003494,0.4658088235294118,0.01,linear_then_softmax,full_s808,full,736,0,142,808
mean,0.8628290837750163,0.7152520112522621,0.3743037214885955,0.01,linear_then_softmax,full_s909,full,736,0,142,909
mean,0.8767268621440473,0.7304034710899285,0.4700975390156062,0.01,linear_then_softmax,neardraw_d0_s42,neardraw,662,74,142,42
mean,0.8784489499345169,0.7059042460267688,0.4485024009603841,0.01,linear_then_softmax,neardraw_d1_s42,neardraw,662,74,142,42
mean,0.8929503305998244,0.774526571822759,0.5091596638655462,0.01,linear_then_softmax,neardraw_d2_s42,neardraw,662,74,142,42
mean,0.8941043522702241,0.7346388144810163,0.4792301920768307,0.01,linear_then_softmax,neardraw_d3_s42,neardraw,662,74,142,42
mean,0.8935602503117479,0.7773119098385624,0.5543967587034814,0.01,linear_then_softmax,neardraw_d4_s42,neardraw,662,74,142,42
mean,0.8568005990406722,0.6914559405851893,0.2926020408163265,0.01,linear_then_softmax,neardraw_d5_s42,neardraw,662,74,142,42
mean,0.8803836004071379,0.7142851991542886,0.4530327130852341,0.01,linear_then_softmax,neardraw_d6_s42,neardraw,662,74,142,42
mean,0.8912824729418671,0.7477539373958539,0.5055042016806723,0.01,linear_then_softmax,neardraw_d7_s42,neardraw,662,74,142,42
mean,0.8780795159418304,0.7027534334629374,0.4983493397358943,0.01,linear_then_softmax,neardraw_d8_s42,neardraw,662,74,142,42
mean,0.8801634291929195,0.723474449481285,0.5519417767106842,0.01,linear_then_softmax,neardraw_d9_s42,neardraw,662,74,142,42
