arm,vintage,seed,n_redteam_rows,dataset,auroc_pipeline,auroc_rank
deepseekv4pro,3,49,174,mean,0.8951855126398343,0.8953977857157582
deepseekv4pro,3,50,174,anthropic,0.9464185680328241,0.9465983587942286
deepseekv4pro,3,50,174,mt,0.954893639045598,0.9548677604678846
deepseekv4pro,3,50,174,mts,0.9477329639298844,0.9476796845862858
deepseekv4pro,3,50,174,toolace,0.7639611838191552,0.7639983640690066
deepseekv4pro,3,50,174,mean,0.9032515887068654,0.9032860419793514
deepseekv4pro,3,51,174,anthropic,0.9496188435858226,0.9495847779678723
deepseekv4pro,3,51,174,mt,0.9540137674033435,0.953703224470783
deepseekv4pro,3,51,174,mts,0.9313495657733497,0.9310565293835581
deepseekv4pro,3,51,174,toolace,0.7740184414039261,0.7740370315288517
deepseekv4pro,3,51,174,mean,0.9022501545416105,0.9020953908377664
gptoss120b,2,42,214,anthropic,0.9691176247937138,0.9691971112355977
gptoss120b,2,42,214,mt,0.9726722219346825,0.9725428290461157
gptoss120b,2,42,214,mts,0.9469071341041079,0.9473067291810965
gptoss120b,2,42,214,toolace,0.810436496133254,0.8104179060083283
gptoss120b,2,42,214,mean,0.9247833692414396,0.9248661438677845
gptoss120b,2,43,214,anthropic,0.9658113673182032,0.9683625035958152
gptoss120b,2,43,214,mt,0.9718958646032814,0.9719735003364215
gptoss120b,2,43,214,mts,0.9582822739623849,0.9580957962597901
gptoss120b,2,43,214,toolace,0.8068671921475312,0.80683001189768
gptoss120b,2,43,214,mean,0.9257141745078501,0.9263154530224267
gptoss120b,2,44,214,anthropic,0.9696058986510016,0.9711748096110463
gptoss120b,2,44,214,mt,0.9604834118316857,0.9606645618756793
gptoss120b,2,44,214,mts,0.9489850285044489,0.9498907773456231
gptoss120b,2,44,214,toolace,0.8229662403331351,0.8229848304580608
gptoss120b,2,44,214,mean,0.9255101448300679,0.9261787448226023
gptoss120b,2,45,214,anthropic,0.9673708156065951,0.9717368923072264
gptoss120b,2,45,214,mt,0.9622172765384814,0.9621655193830546
gptoss120b,2,45,214,mts,0.9502104534072141,0.9512760402791838
gptoss120b,2,45,214,toolace,0.8150096668649613,0.8150096668649613
gptoss120b,2,45,214,mean,0.923702053104313,0.9250470297086065
gptoss120b,2,46,214,anthropic,0.9663337067934412,0.9702985662159911
gptoss120b,2,46,214,mt,0.9553076962890119,0.9550489105118782
gptoss120b,2,46,214,mts,0.9470669721349033,0.947812882945282
gptoss120b,2,46,214,toolace,0.7884443783462225,0.7884443783462225
gptoss120b,2,46,214,mean,0.9142881883908948,0.9154011845048434
gptoss120b,2,47,214,anthropic,0.9612522521158533,0.9619884479704461
gptoss120b,2,47,214,mt,0.9586719113917499,0.9593188758345841
gptoss120b,2,47,214,mts,0.9319622782247323,0.9324950716607172
gptoss120b,2,47,214,toolace,0.8223155859607376,0.8223713563355146
gptoss120b,2,47,214,mean,0.9185505069232682,0.9190434379503154
gptoss120b,2,48,214,anthropic,0.9706770730821057,0.9713602779754424
gptoss120b,2,48,214,mt,0.9686610423891103,0.9692821282542312
gptoss120b,2,48,214,mts,0.9547391976130855,0.9552187117054718
gptoss120b,2,48,214,toolace,0.8277067221891731,0.8277067221891731
gptoss120b,2,48,214,mean,0.9304460088183686,0.9308919600310795
gptoss120b,2,49,214,anthropic,0.9678174537086102,0.9690930218474163
gptoss120b,2,49,214,mt,0.9694891568759381,0.9704984214067595
gptoss120b,2,49,214,mts,0.950983003889392,0.9518621130587671
gptoss120b,2,49,214,toolace,0.8191552647233789,0.8191552647233789
gptoss120b,2,49,214,mean,0.9268612197993298,0.9276522052590803
gptoss120b,2,50,214,anthropic,0.9699598025708187,0.9729594694847764
gptoss120b,2,50,214,mt,0.971300657315874,0.9714300502044408
gptoss120b,2,50,214,mts,0.9562576589056424,0.9562576589056423
gptoss120b,2,50,214,toolace,0.8188206424747173,0.8188020523497918
gptoss120b,2,50,214,mean,0.9290846903167631,0.9298623077361629
gptoss120b,2,51,214,anthropic,0.9687618283395661,0.9720150948538206
gptoss120b,2,51,214,mt,0.9650897986646654,0.9655556130635061
gptoss120b,2,51,214,mts,0.9572966061058128,0.9575896424956044
gptoss120b,2,51,214,toolace,0.8134109161213563,0.8134109161213564
gptoss120b,2,51,214,mean,0.9261397873078502,0.9271428166335719
gptoss120b,3,42,140,anthropic,0.9629706732880136,0.9629687807536829
gptoss120b,3,42,140,mt,0.9669789348377413,0.9672118420371617
gptoss120b,3,42,140,mts,0.9457083488731419,0.9458681869039373
gptoss120b,3,42,140,toolace,0.8149724866151099,0.81497248661511
gptoss120b,3,42,140,mean,0.9226576109035016,0.922755324077473
gptoss120b,3,43,140,anthropic,0.9668655089403322,0.966897682023952
gptoss120b,3,43,140,mt,0.9761140727705606,0.9776667874333625
gptoss120b,3,43,140,mts,0.9555383877670628,0.9555117480952635
gptoss120b,3,43,140,toolace,0.8310157644259369,0.8310157644259369
gptoss120b,3,43,140,mean,0.9323834334759732,0.9327729954946288
gptoss120b,3,44,140,anthropic,0.9658113673182032,0.9658454329361535
gptoss120b,3,44,140,mt,0.9736556078877905,0.9738367579317841
gptoss120b,3,44,140,mts,0.9619052693270819,0.9616655122808886
gptoss120b,3,44,140,toolace,0.8150096668649613,0.8150096668649613
gptoss120b,3,44,140,mean,0.9290954778495092,0.929089342503447
gptoss120b,3,45,140,anthropic,0.9666459749579858,0.9666384048206634
gptoss120b,3,45,140,mt,0.9720770146472749,0.9735262149992236
gptoss120b,3,45,140,mts,0.9531674569769301,0.9531674569769301
gptoss120b,3,45,140,toolace,0.854420731707317,0.854420731707317
gptoss120b,3,45,140,mean,0.936577794572377,0.9369382021260336
gptoss120b,3,46,140,anthropic,0.9675941346576027,0.9675884570546112
gptoss120b,3,46,140,mt,0.9815226955126547,0.9816003312457947
gptoss120b,3,46,140,mts,0.9501038947200171,0.9502903724226118
gptoss120b,3,46,140,toolace,0.8430249851279,0.8430249851279
gptoss120b,3,46,140,mean,0.9355614275045436,0.9356260364627293
gptoss120b,3,47,140,anthropic,0.9665910914623992,0.9671361413496041
gptoss120b,3,47,140,mt,0.9788313234304643,0.978883080585891
gptoss120b,3,47,140,mts,0.9519953114177634,0.9521817891203581
gptoss120b,3,47,140,toolace,0.8322241225461036,0.8322241225461036
gptoss120b,3,47,140,mean,0.9324104622141826,0.9326062834004892
gptoss120b,3,48,140,anthropic,0.9691138397250526,0.9691535829459946
gptoss120b,3,48,140,mt,0.975596501216293,0.975518865483153
gptoss120b,3,48,140,mts,0.9580425169161916,0.95809579625979
gptoss120b,3,48,140,toolace,0.8372434562760261,0.8372434562760261
gptoss120b,3,48,140,mean,0.9349990785333908,0.935002925241241
gptoss120b,3,49,140,anthropic,0.9730578812699662,0.9730786991476026
gptoss120b,3,49,140,mt,0.9777444231665028,0.9777703017442162
gptoss120b,3,49,140,mts,0.9515157973253769,0.9513559592945815
gptoss120b,3,49,140,toolace,0.8391210588935158,0.8391210588935158
gptoss120b,3,49,140,mean,0.9353597901638404,0.9353315047699791
gptoss120b,3,50,140,anthropic,0.9624407636754531,0.9624275159351391
gptoss120b,3,50,140,mt,0.9753894725945863,0.9751824439728792
gptoss120b,3,50,140,mts,0.9565773349672332,0.9565240556236347
gptoss120b,3,50,140,toolace,0.8253457763236168,0.8253457763236169
gptoss120b,3,50,140,mean,0.9299383368902224,0.9298699479638175
gptoss120b,3,51,140,anthropic,0.9693958273403079,0.9694298929582583
gptoss120b,3,51,140,mt,0.976709280057968,0.9768645515242482
gptoss120b,3,51,140,mts,0.9537535297565134,0.953593691725718
gptoss120b,3,51,140,toolace,0.8274464604402142,0.8274464604402142
gptoss120b,3,51,140,mean,0.9318262743987509,0.9318336491621096
