arm,tau,prob_threshold,cohort,rate
gptoss120b,23.0,0.9999999998973812,source_all,0.3752577319587629
gptoss120b,23.25,0.9999999999200804,source_all,0.37628865979381443
gptoss120b,23.5,0.9999999999377585,source_all,0.37628865979381443
gptoss120b,23.75,0.9999999999515263,source_all,0.37628865979381443
gptoss120b,24.0,0.9999999999622486,source_all,0.37731958762886597
gptoss120b,24.25,0.9999999999705993,source_all,0.3783505154639175
gptoss120b,24.5,0.9999999999771028,source_all,0.3783505154639175
gptoss120b,24.75,0.9999999999821676,source_all,0.3783505154639175
gptoss120b,25.0,0.999999999986112,source_all,0.37938144329896906
gptoss120b,25.25,0.999999999989184,source_all,0.3804123711340206
gptoss120b,25.5,0.9999999999915765,source_all,0.38144329896907214
gptoss120b,25.75,0.9999999999934397,source_all,0.38144329896907214
gptoss120b,26.0,0.999999999994891,source_all,0.38144329896907214
gptoss120b,26.25,0.999999999996021,source_all,0.38144329896907214
gptoss120b,26.5,0.9999999999969011,source_all,0.38144329896907214
gptoss120b,26.75,0.9999999999975866,source_all,0.38144329896907214
gptoss120b,27.0,0.9999999999981204,source_all,0.38144329896907214
gptoss120b,27.25,0.9999999999985363,source_all,0.38144329896907214
gptoss120b,27.5,0.99999999999886,source_all,0.38144329896907214
gptoss120b,27.75,0.9999999999991123,source_all,0.38144329896907214
gptoss120b,28.0,0.9999999999993086,source_all,0.38144329896907214
gptoss120b,28.25,0.9999999999994615,source_all,0.38144329896907214
gptoss120b,28.5,0.9999999999995806,source_all,0.38144329896907214
gptoss120b,28.75,0.9999999999996734,source_all,0.38144329896907214
gptoss120b,29.0,0.9999999999997455,source_all,0.38144329896907214
gptoss120b,29.25,0.9999999999998019,source_all,0.38144329896907214
gptoss120b,29.5,0.9999999999998457,source_all,0.38144329896907214
gptoss120b,29.75,0.9999999999998799,source_all,0.38144329896907214
gptoss120b,30.0,0.9999999999999065,source_all,0.38144329896907214
gptoss120b,-30.0,9.357622968839299e-14,source_fp_hunt,1.0
gptoss120b,-29.75,1.2015425731770343e-13,source_fp_hunt,1.0
gptoss120b,-29.5,1.5428112031916497e-13,source_fp_hunt,1.0
gptoss120b,-29.25,1.9810087980485874e-13,source_fp_hunt,1.0
gptoss120b,-29.0,2.543665647376276e-13,source_fp_hunt,1.0
gptoss120b,-28.75,3.2661313427863805e-13,source_fp_hunt,1.0
gptoss120b,-28.5,4.193795658377786e-13,source_fp_hunt,1.0
gptoss120b,-28.25,5.384940217751136e-13,source_fp_hunt,1.0
gptoss120b,-28.0,6.914400106935423e-13,source_fp_hunt,1.0
gptoss120b,-27.75,8.878265478451776e-13,source_fp_hunt,1.0
gptoss120b,-27.5,1.1399918530430558e-12,source_fp_hunt,1.0
gptoss120b,-27.25,1.4637785141237662e-12,source_fp_hunt,1.0
gptoss120b,-27.0,1.8795288165355508e-12,source_fp_hunt,1.0
gptoss120b,-26.75,2.4133627718273897e-12,source_fp_hunt,1.0
gptoss120b,-26.5,3.0988191387122225e-12,source_fp_hunt,1.0
gptoss120b,-26.25,3.978962535821408e-12,source_fp_hunt,1.0
gptoss120b,-26.0,5.109089028037221e-12,source_fp_hunt,1.0
gptoss120b,-25.75,6.560200168110743e-12,source_fp_hunt,1.0
gptoss120b,-25.5,8.423463754397692e-12,source_fp_hunt,1.0
gptoss120b,-25.25,1.0815941557168708e-11,source_fp_hunt,1.0
gptoss120b,-25.0,1.3887943864771144e-11,source_fp_hunt,1.0
gptoss120b,-24.75,1.7832472907828393e-11,source_fp_hunt,1.0
gptoss120b,-24.5,2.289734845593124e-11,source_fp_hunt,1.0
gptoss120b,-24.25,2.940077739198032e-11,source_fp_hunt,1.0
gptoss120b,-24.0,3.7751345441365816e-11,source_fp_hunt,1.0
gptoss120b,-23.75,4.847368706035286e-11,source_fp_hunt,1.0
gptoss120b,-23.5,6.224144622520383e-11,source_fp_hunt,1.0
gptoss120b,-23.25,7.991959892315218e-11,source_fp_hunt,1.0
gptoss120b,-23.0,1.0261879630648827e-10,source_fp_hunt,1.0
gptoss120b,-22.75,1.3176514268359263e-10,source_fp_hunt,1.0
gptoss120b,-22.5,1.6918979223288784e-10,source_fp_hunt,1.0
gptoss120b,-22.25,2.1724399346070674e-10,source_fp_hunt,1.0
gptoss120b,-22.0,2.7894680920908113e-10,source_fp_hunt,1.0
gptoss120b,-21.75,3.581747929000289e-10,source_fp_hunt,1.0
gptoss120b,-21.5,4.599055376537186e-10,source_fp_hunt,1.0
gptoss120b,-21.25,5.905303995456778e-10,source_fp_hunt,1.0
