concept,arm,vintage,n_redteam_rows,n_seeds,dataset,scale,mean,sd,min,max
instructions,deepseekv4pro,0,0,10,mean,pipeline,0.467173812064806,0.03596209429073403,0.40189743113856186,0.5076507844014816
instructions,deepseekv4pro,0,0,10,mean,rank,0.4670901743623023,0.03596491791373562,0.4019023307028089,0.5075699696800143
instructions,deepseekv4pro,0,0,10,mm_substitution,pipeline,0.43925000000000003,0.041924409490308984,0.38375000000000004,0.51475
instructions,deepseekv4pro,0,0,10,mm_substitution,rank,0.43949000000000005,0.04166115163501311,0.38375,0.5157
instructions,deepseekv4pro,0,0,10,oig_context_drift,pipeline,0.5240886385375704,0.006416216124579173,0.5164735891168031,0.5399617387607609
instructions,deepseekv4pro,0,0,10,oig_context_drift,rank,0.5240886385375705,0.0064401337991965325,0.5164735891168031,0.5400680199808694
instructions,deepseekv4pro,0,0,10,oig_omission,pipeline,0.5179901508156356,0.007835129321131264,0.5061557402277624,0.5301631271160357
instructions,deepseekv4pro,0,0,10,oig_omission,rank,0.5179901508156355,0.007762245638106289,0.5064635272391506,0.5301631271160357
instructions,deepseekv4pro,1,294,10,anthropic_harmless_refusal,pipeline,0.6272900000000001,0.06029230557136718,0.509,0.69355
instructions,deepseekv4pro,1,294,10,anthropic_harmless_refusal,rank,0.6272900000000001,0.06029230557136718,0.509,0.69355
instructions,deepseekv4pro,1,294,10,bbq_substitution,pipeline,0.75571,0.015569196796523868,0.7174,0.7706999999999999
instructions,deepseekv4pro,1,294,10,bbq_substitution,rank,0.75571,0.015569196796523868,0.7174,0.7706999999999999
instructions,deepseekv4pro,1,294,10,hc_context_drift,pipeline,0.5026995429907536,0.004119972149574437,0.49580189180571793,0.509140184929323
instructions,deepseekv4pro,1,294,10,hc_context_drift,rank,0.5028005101498565,0.0041197627093885565,0.4959081730258264,0.5091933255393771
instructions,deepseekv4pro,1,294,10,hc_contradiction,pipeline,0.501465,0.007451959101098486,0.4909,0.51465
instructions,deepseekv4pro,1,294,10,hc_contradiction,rank,0.5016700000000001,0.007428705584869196,0.49105,0.51475
instructions,deepseekv4pro,1,294,10,mean,pipeline,0.5519181560144757,0.012304480769458887,0.5285361231653586,0.5663931011980543
instructions,deepseekv4pro,1,294,10,mean,rank,0.5519793744617916,0.012302922454688914,0.528644719554759,0.5664713315245665
instructions,deepseekv4pro,1,294,10,mm_substitution,pipeline,0.394965,0.015466559805665336,0.37615,0.41890000000000005
instructions,deepseekv4pro,1,294,10,mm_substitution,rank,0.394965,0.015466559805665336,0.37615,0.41890000000000005
instructions,deepseekv4pro,1,294,10,oig_context_drift,pipeline,0.518216601126581,0.017039829374077914,0.49431395472420026,0.5419810819428207
instructions,deepseekv4pro,1,294,10,oig_context_drift,rank,0.5182006589435647,0.01701250797217953,0.49431395472420026,0.5418748007227123
instructions,deepseekv4pro,1,294,10,oig_omission,pipeline,0.563080947983995,0.004334864371925629,0.5552477685441675,0.5670975684826101
instructions,deepseekv4pro,1,294,10,oig_omission,rank,0.5632194521391198,0.0043659249737324594,0.5552477685441675,0.5672514619883041
instructions,deepseekv4pro,2,262,10,anthropic_harmless_refusal,pipeline,0.25351500000000005,0.044613183465079996,0.17125,0.30155
instructions,deepseekv4pro,2,262,10,anthropic_harmless_refusal,rank,0.25355,0.04462305706943689,0.1713,0.30155
instructions,deepseekv4pro,2,262,10,bbq_substitution,pipeline,0.46914,0.00949212539131486,0.45025,0.4799
instructions,deepseekv4pro,2,262,10,bbq_substitution,rank,0.469105,0.009406246447027766,0.45035,0.4798
instructions,deepseekv4pro,2,262,10,hc_context_drift,pipeline,0.46848761823785734,0.008156001718758505,0.4557338718248485,0.48134764587097456
instructions,deepseekv4pro,2,262,10,hc_context_drift,rank,0.4686629822510363,0.008185956000924074,0.45568073121479435,0.4814007864810288
instructions,deepseekv4pro,2,262,10,hc_contradiction,pipeline,0.47421500000000016,0.008392193793440817,0.4625,0.4888
instructions,deepseekv4pro,2,262,10,hc_contradiction,rank,0.474585,0.008460924890341486,0.4629,0.489
instructions,deepseekv4pro,2,262,10,mean,pipeline,0.4467491401083833,0.008253480701177785,0.4346037684057397,0.4606639489033372
instructions,deepseekv4pro,2,262,10,mean,rank,0.44683917059896194,0.008239209326256991,0.43475601169863554,0.46071574353765393
instructions,deepseekv4pro,2,262,10,mm_substitution,pipeline,0.46313000000000004,0.024619946746038644,0.4246,0.50455
instructions,deepseekv4pro,2,262,10,mm_substitution,rank,0.46323500000000006,0.024517647272480656,0.42495000000000005,0.5045000000000001
instructions,deepseekv4pro,2,262,10,oig_context_drift,pipeline,0.516207886066532,0.005749946066603305,0.5088213412689977,0.5275799766181316
instructions,deepseekv4pro,2,262,10,oig_context_drift,rank,0.5162185141885429,0.005764105684290705,0.5087682006589436,0.5276331172281858
instructions,deepseekv4pro,2,262,10,oig_omission,pipeline,0.48254847645429366,0.0073537553617389,0.47106802092951683,0.49553708833487226
instructions,deepseekv4pro,2,262,10,oig_omission,rank,0.4825176977531548,0.0073691264176735365,0.47106802092951683,0.49553708833487226
instructions,deepseekv4pro,3,174,10,anthropic_harmless_refusal,pipeline,0.41303,0.06128546229644426,0.2593,0.5029
instructions,deepseekv4pro,3,174,10,anthropic_harmless_refusal,rank,0.41300499999999996,0.06124788182278452,0.25935,0.5028
instructions,deepseekv4pro,3,174,10,bbq_substitution,pipeline,0.46067,0.012605448557402994,0.44020000000000004,0.4766
