arm,sign,iterations,redteam_successes,dataset,auroc,accuracy,tpr_at_fpr,fpr
dev,arm1,full,0 1 2 3 4 5 6 7 8 9,279,mean,0.8970693222758288,0.7965239649719882,0.17089554828294043,0.01
dev,arm2,full,0 1 2 3 4 5 6 7 8 9,204,anthropic_hh_balanced,0.960048093855343,0.9018096514745308,0.5361930294906166,0.01
dev,arm2,full,0 1 2 3 4 5 6 7 8 9,204,mt_balanced,0.9292300776281742,0.7450331125827815,0.0,0.01
dev,arm2,full,0 1 2 3 4 5 6 7 8 9,204,mts_balanced,0.949972958355868,0.8837209302325582,0.0,0.01
dev,arm2,full,0 1 2 3 4 5 6 7 8 9,204,toolace_balanced,0.790695602461968,0.5831062670299727,0.11989100817438691,0.01
dev,arm2,full,0 1 2 3 4 5 6 7 8 9,204,mean,0.9074866830753383,0.7784174903299609,0.1640210094162509,0.01
dev,arm3,full,0 1 2 3 4 5 6 7 8 9,246,anthropic_hh_balanced,0.9485203480223389,0.8827077747989276,0.6407506702412868,0.01
dev,arm3,full,0 1 2 3 4 5 6 7 8 9,246,mt_balanced,0.9003771764396299,0.8195364238410596,0.13245033112582782,0.01
dev,arm3,full,0 1 2 3 4 5 6 7 8 9,246,mts_balanced,0.9494321254732287,0.7674418604651163,0.0,0.01
dev,arm3,full,0 1 2 3 4 5 6 7 8 9,246,toolace_balanced,0.8065060992360178,0.6158038147138964,0.08446866485013624,0.01
dev,arm3,full,0 1 2 3 4 5 6 7 8 9,246,mean,0.9012089372928038,0.7713724684547499,0.21441741655431273,0.01
dev,arm4,full,0 1 2 3 4 5 6 7 8 9,250,anthropic_hh_balanced,0.9191627015216093,0.7687667560321716,0.3344504021447721,0.01
dev,arm4,full,0 1 2 3 4 5 6 7 8 9,250,mt_balanced,0.9504078768475066,0.8211920529801324,0.30132450331125826,0.01
dev,arm4,full,0 1 2 3 4 5 6 7 8 9,250,mts_balanced,0.9718766901027582,0.8837209302325582,0.0,0.01
dev,arm4,full,0 1 2 3 4 5 6 7 8 9,250,toolace_balanced,0.7474181262018428,0.5217983651226158,0.1880108991825613,0.01
dev,arm4,full,0 1 2 3 4 5 6 7 8 9,250,mean,0.8972163486684293,0.7488695260918695,0.20594645115964794,0.01
dev,arm5,full,0 1 2 3 4 5 6 7 8 9,164,anthropic_hh_balanced,0.9509710861862012,0.818029490616622,0.47587131367292224,0.01
dev,arm5,full,0 1 2 3 4 5 6 7 8 9,164,mt_balanced,0.8956679531599492,0.7996688741721855,0.2947019867549669,0.01
dev,arm5,full,0 1 2 3 4 5 6 7 8 9,164,mts_balanced,0.9670091941590049,0.8255813953488372,0.0,0.01
dev,arm5,full,0 1 2 3 4 5 6 7 8 9,164,toolace_balanced,0.8246961518758029,0.5980926430517711,0.1989100817438692,0.01
dev,arm5,full,0 1 2 3 4 5 6 7 8 9,164,mean,0.9095860963452396,0.760343100797354,0.24237084554293958,0.01
dev,arm6,full,0 1 2 3 4 5 6 7 8 9,29,anthropic_hh_balanced,0.9129083889771364,0.7526809651474531,0.22855227882037535,0.01
dev,arm6,full,0 1 2 3 4 5 6 7 8 9,29,mt_balanced,0.9529845182228849,0.6556291390728477,0.5331125827814569,0.01
dev,arm6,full,0 1 2 3 4 5 6 7 8 9,29,mts_balanced,0.9929691725256896,0.9534883720930233,0.0,0.01
dev,arm6,full,0 1 2 3 4 5 6 7 8 9,29,toolace_balanced,0.8604043388843928,0.5544959128065395,0.23978201634877383,0.01
dev,arm6,full,0 1 2 3 4 5 6 7 8 9,29,mean,0.929816604652526,0.7290735972799659,0.2503617194876515,0.01
