packed gptoss120b: train 662 rows / 2.84 GB, val 166 rows / 0.71 GB, eval 866 rows / 0.81 GB (host)
  seed 63 pass 1/7  (19s/pass, 46m elapsed, 63m left)
  seed 63 pass 2/7  (19s/pass, 46m elapsed, 63m left)
  seed 63 pass 3/7  (19s/pass, 47m elapsed, 62m left)
  seed 63 pass 4/7  (19s/pass, 47m elapsed, 62m left)
  seed 63 pass 5/7  (19s/pass, 48m elapsed, 62m left)
  seed 63 pass 6/7  (19s/pass, 48m elapsed, 62m left)
  seed 63 pass 7/7  (19s/pass, 48m elapsed, 61m left)
  seed 64 pass 1/7  (19s/pass, 48m elapsed, 61m left)
  seed 64 pass 2/7  (19s/pass, 49m elapsed, 61m left)
  seed 64 pass 3/7  (19s/pass, 49m elapsed, 60m left)
  seed 64 pass 4/7  (19s/pass, 49m elapsed, 60m left)
  seed 64 pass 5/7  (19s/pass, 50m elapsed, 60m left)
  seed 64 pass 6/7  (19s/pass, 50m elapsed, 60m left)
  seed 64 pass 7/7  (19s/pass, 50m elapsed, 59m left)
  seed 65 pass 1/7  (19s/pass, 51m elapsed, 59m left)
  seed 65 pass 2/7  (19s/pass, 51m elapsed, 58m left)
  seed 65 pass 3/7  (19s/pass, 51m elapsed, 58m left)
  seed 65 pass 4/7  (19s/pass, 51m elapsed, 58m left)
  seed 65 pass 5/7  (19s/pass, 52m elapsed, 57m left)
  seed 65 pass 6/7  (19s/pass, 52m elapsed, 57m left)
  seed 65 pass 7/7  (19s/pass, 52m elapsed, 57m left)
  seed 66 pass 1/7  (19s/pass, 53m elapsed, 56m left)
  seed 66 pass 2/7  (19s/pass, 53m elapsed, 56m left)
  seed 66 pass 3/7  (19s/pass, 53m elapsed, 56m left)
  seed 66 pass 4/7  (19s/pass, 53m elapsed, 55m left)
  seed 66 pass 5/7  (19s/pass, 54m elapsed, 55m left)
  seed 66 pass 6/7  (19s/pass, 54m elapsed, 55m left)
  seed 66 pass 7/7  (19s/pass, 54m elapsed, 54m left)
  seed 67 pass 1/7  (19s/pass, 55m elapsed, 54m left)
  seed 67 pass 2/7  (19s/pass, 55m elapsed, 54m left)
  seed 67 pass 3/7  (19s/pass, 55m elapsed, 53m left)
  seed 67 pass 4/7  (19s/pass, 55m elapsed, 53m left)
  seed 67 pass 5/7  (19s/pass, 56m elapsed, 53m left)
  seed 67 pass 6/7  (19s/pass, 56m elapsed, 52m left)
  seed 67 pass 7/7  (19s/pass, 56m elapsed, 52m left)
  seed 68 pass 1/7  (19s/pass, 57m elapsed, 52m left)
  seed 68 pass 2/7  (19s/pass, 57m elapsed, 51m left)
  seed 68 pass 3/7  (19s/pass, 57m elapsed, 51m left)
  seed 68 pass 4/7  (18s/pass, 57m elapsed, 51m left)
  seed 68 pass 5/7  (18s/pass, 58m elapsed, 50m left)
  seed 68 pass 6/7  (18s/pass, 58m elapsed, 50m left)
  seed 68 pass 7/7  (18s/pass, 58m elapsed, 49m left)
  seed 69 pass 1/7  (18s/pass, 58m elapsed, 49m left)
